WeekEnding,Country,AgeGroup,CardioAdmissions,Average20182019,PercentVariation
20220206,S92000003,Under 65,215,225,-4.4
20220213,S92000003,65 and over,195,220,-11.4
20220213,S92000003,Under 65,229,209,9.6
20220220,S92000003,65 and over,225,229.5,-2
20220220,S92000003,Under 65,195,234.5,-16.8
20220227,S92000003,65 and over,207,206.5,0.2
20220227,S92000003,Under 65,242,216,12
20220306,S92000003,65 and over,180,225,-20
20220306,S92000003,Under 65,195,225.5,-13.5
20220313,S92000003,65 and over,217,226.5,-4.2
20220313,S92000003,Under 65,214,232.5,-8
20220320,S92000003,65 and over,182,212.5,-14.4
20220320,S92000003,Under 65,187,225.5,-17.1
20220327,S92000003,65 and over,178,227.5,-21.8
20220327,S92000003,Under 65,204,207,-1.4
20220403,S92000003,65 and over,167,199.5,-16.3
20220403,S92000003,Under 65,195,212.5,-8.2
20220410,S92000003,65 and over,194,221.5,-12.4
20220410,S92000003,Under 65,177,211,-16.1
20220417,S92000003,65 and over,200,225.5,-11.3
20220417,S92000003,Under 65,190,220.5,-13.8
20220424,S92000003,65 and over,199,205,-2.9
20220424,S92000003,Under 65,200,232.5,-14
20220501,S92000003,65 and over,196,226,-13.3
20220501,S92000003,Under 65,182,213.5,-14.8
20220508,S92000003,65 and over,176,190,-7.4
20220508,S92000003,Under 65,188,205,-8.3
20220515,S92000003,65 and over,198,207,-4.3
20220515,S92000003,Under 65,209,238,-12.2
20220522,S92000003,65 and over,189,195.5,-3.3
20220522,S92000003,Under 65,178,211,-15.6
20220529,S92000003,65 and over,184,200,-8
20220529,S92000003,Under 65,203,215.5,-5.8
20220605,S92000003,65 and over,184,192.5,-4.4
20220605,S92000003,Under 65,180,206,-12.6
20220612,S92000003,65 and over,197,185,6.5
20220612,S92000003,Under 65,207,212.5,-2.6
20220619,S92000003,65 and over,177,199,-11.1
20220619,S92000003,Under 65,181,203.5,-11.1
20220626,S92000003,65 and over,163,186,-12.4
20220626,S92000003,Under 65,192,182,5.5
20220703,S92000003,65 and over,182,198,-8.1
20220703,S92000003,Under 65,177,178,-0.6
20220710,S92000003,65 and over,164,200,-18
20220710,S92000003,Under 65,154,201,-23.4
20220717,S92000003,65 and over,201,198.5,1.3
20220717,S92000003,Under 65,171,194,-11.9
20220724,S92000003,65 and over,193,194.5,-0.8
20220724,S92000003,Under 65,188,202,-6.9
20220731,S92000003,65 and over,205,200.5,2.2
20220731,S92000003,Under 65,183,200.5,-8.7
20220807,S92000003,65 and over,185,200.5,-7.7
20220807,S92000003,Under 65,201,187.5,7.2
20220814,S92000003,65 and over,221,207.5,6.5
20220814,S92000003,Under 65,186,210,-11.4
20220821,S92000003,65 and over,208,215.5,-3.5
20220821,S92000003,Under 65,204,253,-19.4
20220828,S92000003,65 and over,188,234,-19.7
20220828,S92000003,Under 65,215,221.5,-2.9
20220904,S92000003,65 and over,221,204.5,8.1
20220904,S92000003,Under 65,232,197,17.8
20220911,S92000003,65 and over,213,193,10.4
20220911,S92000003,Under 65,228,225.5,1.1
20220918,S92000003,65 and over,207,200.5,3.2
20220918,S92000003,Under 65,200,229,-12.7
20220925,S92000003,65 and over,219,228,-3.9
20220925,S92000003,Under 65,198,240,-17.5
20221002,S92000003,65 and over,252,198,27.3
20221002,S92000003,Under 65,216,218,-0.9
20221009,S92000003,65 and over,207,212.5,-2.6
20221009,S92000003,Under 65,223,210.5,5.9
20221016,S92000003,65 and over,217,222,-2.3
20221016,S92000003,Under 65,198,208,-4.8
20221023,S92000003,65 and over,193,209.5,-7.9
20221023,S92000003,Under 65,214,201.5,6.2
20221030,S92000003,65 and over,228,199.5,14.3
20221030,S92000003,Under 65,215,208,3.4
20221106,S92000003,65 and over,179,204.5,-12.5
20221106,S92000003,Under 65,204,214.5,-4.9
20221113,S92000003,65 and over,178,230.5,-22.8
20221113,S92000003,Under 65,220,240,-8.3
20221120,S92000003,65 and over,204,187.5,8.8
20221120,S92000003,Under 65,216,230.5,-6.3
20221127,S92000003,65 and over,215,202.5,6.2
20221127,S92000003,Under 65,187,203.5,-8.1
20221204,S92000003,65 and over,171,216.5,-21
20221204,S92000003,Under 65,171,218,-21.6
20221211,S92000003,65 and over,185,219.5,-15.7
20221211,S92000003,Under 65,160,208,-23.1
20221218,S92000003,65 and over,194,222,-12.6
20221218,S92000003,Under 65,181,215.5,-16
20221225,S92000003,65 and over,201,215.5,-6.7
20221225,S92000003,Under 65,165,200.5,-17.7
20230101,S92000003,65 and over,182,234.5,-22.4
20230101,S92000003,Under 65,182,182,-0
20230108,S92000003,65 and over,172,232.5,-26
20230108,S92000003,Under 65,187,210,-11
20230115,S92000003,65 and over,177,223,-20.6
20230115,S92000003,Under 65,211,224,-5.8
20230122,S92000003,65 and over,155,204,-24
20230122,S92000003,Under 65,166,220.5,-24.7
20230129,S92000003,65 and over,157,210.5,-25.4
