WeekEnding,Country,SIMDQuintile,CardioAdmissions,Average20182019,PercentVariation
20210214,S92000003,3,55,79.5,-30.8
20210214,S92000003,4,55,80,-31.2
20210214,S92000003,5,39,62,-37.1
20210221,S92000003,1,75,117,-35.9
20210221,S92000003,2,78,98,-20.4
20210221,S92000003,3,84,93.5,-10.2
20210221,S92000003,4,54,87,-37.9
20210221,S92000003,5,46,65.5,-29.8
20210228,S92000003,1,76,107.5,-29.3
20210228,S92000003,2,63,87.5,-28
20210228,S92000003,3,72,79,-8.9
20210228,S92000003,4,65,85.5,-24
20210228,S92000003,5,44,61.5,-28.5
20210307,S92000003,1,68,106.5,-36.2
20210307,S92000003,2,53,85.5,-38
20210307,S92000003,3,72,86.5,-16.8
20210307,S92000003,4,64,101.5,-36.9
20210307,S92000003,5,50,69.5,-28.1
20210314,S92000003,1,77,111,-30.6
20210314,S92000003,2,66,95,-30.5
20210314,S92000003,3,63,100.5,-37.3
20210314,S92000003,4,81,87,-6.9
20210314,S92000003,5,46,63.5,-27.6
20210321,S92000003,1,96,100.5,-4.5
20210321,S92000003,2,60,85,-29.4
20210321,S92000003,3,67,93,-28
20210321,S92000003,4,62,88.5,-29.9
20210321,S92000003,5,50,66.5,-24.8
20210328,S92000003,1,89,118,-24.6
20210328,S92000003,2,49,91.5,-46.4
20210328,S92000003,3,81,88,-8
20210328,S92000003,4,69,83,-16.9
20210328,S92000003,5,46,52,-11.5
20210404,S92000003,1,94,100,-6
20210404,S92000003,2,65,80,-18.8
20210404,S92000003,3,79,85,-7.1
20210404,S92000003,4,80,84.5,-5.3
20210404,S92000003,5,54,59.5,-9.2
20210411,S92000003,1,70,130,-46.2
20210411,S92000003,2,76,85.5,-11.1
20210411,S92000003,3,74,80,-7.5
20210411,S92000003,4,72,78,-7.7
20210411,S92000003,5,53,54,-1.9
20210418,S92000003,1,76,110,-30.9
20210418,S92000003,2,64,88.5,-27.7
20210418,S92000003,3,71,90,-21.1
20210418,S92000003,4,72,90,-20
20210418,S92000003,5,61,65,-6.2
20210425,S92000003,1,95,119.5,-20.5
20210425,S92000003,2,62,89,-30.3
20210425,S92000003,3,58,88.5,-34.5
20210425,S92000003,4,67,78,-14.1
20210425,S92000003,5,57,57.5,-0.9
20210502,S92000003,1,72,103,-30.1
20210502,S92000003,2,80,92.5,-13.5
20210502,S92000003,3,76,93,-18.3
20210502,S92000003,4,65,89,-27
20210502,S92000003,5,60,59,1.7
20210509,S92000003,1,90,107.5,-16.3
20210509,S92000003,2,80,85,-5.9
20210509,S92000003,3,85,71.5,18.9
20210509,S92000003,4,69,72,-4.2
20210509,S92000003,5,63,52.5,20
20210516,S92000003,1,113,109.5,3.2
20210516,S92000003,2,84,95.5,-12
20210516,S92000003,3,108,87.5,23.4
20210516,S92000003,4,98,81.5,20.2
20210516,S92000003,5,62,64.5,-3.9
20210523,S92000003,1,101,111,-9
20210523,S92000003,2,79,76.5,3.3
20210523,S92000003,3,106,79.5,33.3
20210523,S92000003,4,76,74.5,2
20210523,S92000003,5,49,61.5,-20.3
20210530,S92000003,1,97,106,-8.5
20210530,S92000003,2,96,76.5,25.5
20210530,S92000003,3,109,87,25.3
20210530,S92000003,4,93,84,10.7
20210530,S92000003,5,67,60,11.7
20210606,S92000003,1,99,104.5,-5.3
20210606,S92000003,2,77,79.5,-3.1
20210606,S92000003,3,91,82,11
20210606,S92000003,4,80,69,15.9
20210606,S92000003,5,55,59,-6.8
20210613,S92000003,1,111,103.5,7.2
20210613,S92000003,2,69,79.5,-13.2
20210613,S92000003,3,70,81,-13.6
20210613,S92000003,4,85,71.5,18.9
20210613,S92000003,5,60,58.5,2.6
20210620,S92000003,1,105,97,8.2
20210620,S92000003,2,78,73,6.8
20210620,S92000003,3,88,84,4.8
20210620,S92000003,4,85,77.5,9.7
20210620,S92000003,5,58,63.5,-8.7
20210627,S92000003,1,100,86,16.3
20210627,S92000003,2,110,81,35.8
20210627,S92000003,3,70,76,-7.9
20210627,S92000003,4,84,74.5,12.8
20210627,S92000003,5,57,46.5,22.6
20210704,S92000003,1,90,84,7.1
20210704,S92000003,2,81,88,-8
20210704,S92000003,3,76,75,1.3
20210704,S92000003,4,71,67,6
20210704,S92000003,5,61,59.5,2.5
20210711,S92000003,1,104,98.5,5.6
20210711,S92000003,2,93,88.5,5.1
