Date,Country,SIMDQuintile,DailyPositive,CumulativePositive,DailyDeaths,DailyDeathsQF,CumulativeDeaths,CumulativeDeathsQF,CrudeRateDeaths,CrudeRateDeathsQF,FirstInfections,FirstInfectionsCumulative,Reinfections,ReinfectionsCumulative,PercentReinfections,PercentReinfectionsCumulative
20211219,S92000003,5,1302,155075,2,,1310,,119.82565824075812,,1229,153782,73,1293,5.606758832565284,0.8337901015637594
20211220,S92000003,1,1657,190535,6,,2808,,259.34515348744424,,1523,188241,134,2294,8.086904043452021,1.20397827170861
20211220,S92000003,2,1580,174817,4,,2335,,215.450425180111,,1473,173014,107,1803,6.772151898734177,1.0313642265912355
20211220,S92000003,3,1625,150344,2,,1813,,166.07415536223493,,1547,148878,78,1466,4.8,0.975097110626297
20211220,S92000003,4,1824,156625,0,,1587,,142.3878998098803,,1720,155140,104,1485,5.701754385964913,0.9481245011971268
20211220,S92000003,5,1943,157018,0,,1310,,119.82565824075812,,1804,155586,139,1432,7.153885743695317,0.9119973506222216
20211221,S92000003,1,1986,192521,4,,2812,,259.7145910280246,,1789,190030,197,2491,9.919436052366564,1.293884822954379
20211221,S92000003,2,2064,176881,2,,2337,,215.63496515885203,,1907,174921,157,1960,7.606589147286821,1.1080896195747425
20211221,S92000003,3,1904,152248,0,,1813,,166.07415536223493,,1767,150645,137,1603,7.195378151260504,1.0528873942514845
20211221,S92000003,4,2173,158798,2,,1589,,142.56734265778186,,2042,157182,131,1616,6.028531983433042,1.0176450585019965
20211221,S92000003,5,2388,159406,1,,1311,,119.91712820888084,,2208,157794,180,1612,7.537688442211056,1.0112542815201435
20211222,S92000003,1,2337,194858,3,,2815,,259.9916691834599,,2061,192091,276,2767,11.810012836970476,1.420008416385265
20211222,S92000003,2,2343,179224,3,,2340,,215.9117751269635,,2125,177046,218,2178,9.304310712761415,1.2152390304869884
20211222,S92000003,3,2262,154510,1,,1814,,166.16575721295874,,2111,152756,151,1754,6.675508399646331,1.1352016050741052
20211222,S92000003,4,2337,161135,0,,1589,,142.56734265778186,,2160,159342,177,1793,7.573812580231065,1.1127315604927546
20211222,S92000003,5,2608,162014,0,,1311,,119.91712820888084,,2421,160215,187,1799,7.170245398773006,1.1103978668510128
20211223,S92000003,1,2601,197459,1,,2816,,260.084028568605,,2323,194414,278,3045,10.688196847366395,1.5420922824485084
20211223,S92000003,2,2367,181591,3,,2343,,216.188585095075,,2168,179214,199,2377,8.407266582171525,1.3089855774790602
20211223,S92000003,3,2331,156841,1,,1815,,166.25735906368251,,2147,154903,184,1938,7.893607893607894,1.2356462914671549
20211223,S92000003,4,2445,163580,0,,1589,,142.56734265778186,,2246,161588,199,1992,8.139059304703476,1.2177527815136324
20211223,S92000003,5,2649,164663,0,,1311,,119.91712820888084,,2423,162638,226,2025,8.531521328803322,1.2297844688849346
20211224,S92000003,1,1837,199296,1,,2817,,260.1763879537501,,1668,196082,169,3214,9.199782253674467,1.6126766217084136
20211224,S92000003,2,1870,183461,2,,2345,,216.37312507381597,,1706,180920,164,2541,8.770053475935828,1.3850355116346251
20211224,S92000003,3,1757,158598,1,,1816,,166.34896091440632,,1621,156524,136,2074,7.740466704610131,1.3077087983455025
20211224,S92000003,4,2071,165651,1,,1590,,142.65706408173264,,1940,163528,131,2123,6.325446644133269,1.2816101321452935
20211224,S92000003,5,2126,166789,0,,1311,,119.91712820888084,,1971,164609,155,2180,7.29068673565381,1.3070406321759829
20211225,S92000003,1,918,200214,0,,2817,,260.1763879537501,,839,196921,79,3293,8.60566448801743,1.6447401280629723
20211225,S92000003,2,952,184413,2,,2347,,216.55766505255696,,889,181809,63,2604,6.617647058823529,1.41204795757349
20211225,S92000003,3,862,159460,3,,1819,,166.6237664665777,,804,157328,58,2132,6.728538283062645,1.3370124169070614
20211225,S92000003,4,1043,166694,2,,1592,,142.83650692963417,,982,164510,61,2184,5.848513902205178,1.3101851296387392
20211225,S92000003,5,1068,167857,1,,1312,,120.00859817700352,,998,165607,70,2250,6.5543071161048685,1.3404266727035512
20211226,S92000003,1,1464,201678,1,,2818,,260.2687473388952,,1318,198239,146,3439,9.972677595628417,1.705193427146243
20211226,S92000003,2,1484,185897,0,,2347,,216.55766505255696,,1368,183177,116,2720,7.816711590296496,1.4631758446881875
20211226,S92000003,3,1321,160781,1,,1820,,166.71536831730148,,1240,158568,81,2213,6.131718395155185,1.3764064161810163
