month_of_delay,hbt,age_group,number_of_delayed_bed_days,average_daily_number_of_delayed_beds
2018-12-01,S08000029,18plus,3235,104
2018-12-01,S08000029,18-74,1170,38
2018-12-01,S08000029,75plus,2065,67
2018-12-01,S08000030,18plus,2356,76
2018-12-01,S08000030,18-74,851,27
2018-12-01,S08000030,75plus,1505,49
2018-12-01,S08000031,18plus,5222,168
2018-12-01,S08000031,18-74,2351,76
2018-12-01,S08000031,75plus,2871,93
2018-12-01,S08000032,18plus,5709,184
2018-12-01,S08000032,18-74,1629,53
2018-12-01,S08000032,75plus,4080,132
2018-12-01,S92000003,18plus,42732,1378
2018-12-01,S92000003,18-74,12765,412
2018-12-01,S92000003,75plus,29967,967
2019-01-01,S08000015,18plus,3621,117
2019-01-01,S08000015,18-74,820,26
2019-01-01,S08000015,75plus,2801,90
2019-01-01,S08000016,18plus,1028,33
2019-01-01,S08000016,18-74,316,10
2019-01-01,S08000016,75plus,712,23
2019-01-01,S08000017,18plus,1498,48
2019-01-01,S08000017,18-74,523,17
2019-01-01,S08000017,75plus,975,31
2019-01-01,S08000019,18plus,2917,94
2019-01-01,S08000019,18-74,851,27
2019-01-01,S08000019,75plus,2066,67
2019-01-01,S08000020,18plus,3812,123
2019-01-01,S08000020,18-74,779,25
2019-01-01,S08000020,75plus,3033,98
2019-01-01,S08000022,18plus,3515,113
2019-01-01,S08000022,18-74,980,32
2019-01-01,S08000022,75plus,2535,82
2019-01-01,S08000024,18plus,8855,286
2019-01-01,S08000024,18-74,2402,77
2019-01-01,S08000024,75plus,6453,208
2019-01-01,S08000025,18plus,38,1
2019-01-01,S08000025,18-74,15,0
2019-01-01,S08000025,75plus,23,1
2019-01-01,S08000026,18plus,49,2
2019-01-01,S08000026,18-74,0,0
2019-01-01,S08000026,75plus,49,2
2019-01-01,S08000028,18plus,492,16
2019-01-01,S08000028,18-74,112,4
2019-01-01,S08000028,75plus,380,12
2019-01-01,S08000029,18plus,3688,119
2019-01-01,S08000029,18-74,1328,43
2019-01-01,S08000029,75plus,2360,76
2019-01-01,S08000030,18plus,2643,85
2019-01-01,S08000030,18-74,994,32
2019-01-01,S08000030,75plus,1649,53
2019-01-01,S08000031,18plus,5959,192
2019-01-01,S08000031,18-74,2330,75
2019-01-01,S08000031,75plus,3629,117
2019-01-01,S08000032,18plus,5748,185
2019-01-01,S08000032,18-74,1537,50
2019-01-01,S08000032,75plus,4211,136
2019-01-01,S92000003,18plus,43863,1415
2019-01-01,S92000003,18-74,12987,419
2019-01-01,S92000003,75plus,30876,996
2019-02-01,S08000015,18plus,3719,133
2019-02-01,S08000015,18-74,792,28
2019-02-01,S08000015,75plus,2927,105
2019-02-01,S08000016,18plus,926,33
2019-02-01,S08000016,18-74,293,10
2019-02-01,S08000016,75plus,633,23
2019-02-01,S08000017,18plus,1537,55
2019-02-01,S08000017,18-74,519,19
2019-02-01,S08000017,75plus,1018,36
2019-02-01,S08000019,18plus,2403,86
2019-02-01,S08000019,18-74,797,28
2019-02-01,S08000019,75plus,1606,57
2019-02-01,S08000020,18plus,3016,108
2019-02-01,S08000020,18-74,752,27
2019-02-01,S08000020,75plus,2264,81
2019-02-01,S08000022,18plus,3448,123
2019-02-01,S08000022,18-74,1052,38
2019-02-01,S08000022,75plus,2396,86
2019-02-01,S08000024,18plus,8496,303
2019-02-01,S08000024,18-74,2204,79
2019-02-01,S08000024,75plus,6292,225
2019-02-01,S08000025,18plus,20,1
2019-02-01,S08000025,18-74,0,0
2019-02-01,S08000025,75plus,20,1
2019-02-01,S08000026,18plus,73,3
2019-02-01,S08000026,18-74,0,0
2019-02-01,S08000026,75plus,73,3
2019-02-01,S08000028,18plus,497,18
2019-02-01,S08000028,18-74,85,3
2019-02-01,S08000028,75plus,412,15
2019-02-01,S08000029,18plus,3174,113
2019-02-01,S08000029,18-74,1026,37
2019-02-01,S08000029,75plus,2148,77
2019-02-01,S08000030,18plus,2086,75
2019-02-01,S08000030,18-74,905,32
2019-02-01,S08000030,75plus,1181,42
2019-02-01,S08000031,18plus,5951,213
2019-02-01,S08000031,18-74,2763,99
2019-02-01,S08000031,75plus,3188,114
2019-02-01,S08000032,18plus,5467,195
2019-02-01,S08000032,18-74,1574,56
2019-02-01,S08000032,75plus,3893,139
2019-02-01,S92000003,18plus,40813,1458
2019-02-01,S92000003,18-74,12762,456
2019-02-01,S92000003,75plus,28051,1002
2019-03-01,S08000015,18plus,3523,114
2019-03-01,S08000015,18-74,793,26
2019-03-01,S08000015,75plus,2730,88
2019-03-01,S08000016,18plus,884,29
2019-03-01,S08000016,18-74,256,8
2019-03-01,S08000016,75plus,628,20
2019-03-01,S08000017,18plus,1648,53
2019-03-01,S08000017,18-74,555,18
2019-03-01,S08000017,75plus,1093,35
2019-03-01,S08000019,18plus,2629,85
2019-03-01,S08000019,18-74,784,25
2019-03-01,S08000019,75plus,1845,60
2019-03-01,S08000020,18plus,3125,101
2019-03-01,S08000020,18-74,843,27
2019-03-01,S08000020,75plus,2282,74
2019-03-01,S08000022,18plus,3864,125
2019-03-01,S08000022,18-74,1193,38
2019-03-01,S08000022,75plus,2671,86
2019-03-01,S08000024,18plus,9099,294
2019-03-01,S08000024,18-74,2702,87
2019-03-01,S08000024,75plus,6397,206
2019-03-01,S08000025,18plus,4,0
2019-03-01,S08000025,18-74,0,0
2019-03-01,S08000025,75plus,4,0
2019-03-01,S08000026,18plus,194,6
2019-03-01,S08000026,18-74,24,1
2019-03-01,S08000026,75plus,170,5
2019-03-01,S08000028,18plus,580,19
2019-03-01,S08000028,18-74,102,3
2019-03-01,S08000028,75plus,478,15
2019-03-01,S08000029,18plus,3385,109
2019-03-01,S08000029,18-74,1170,38
2019-03-01,S08000029,75plus,2215,71
2019-03-01,S08000030,18plus,2815,91
2019-03-01,S08000030,18-74,1124,36
2019-03-01,S08000030,75plus,1691,55
2019-03-01,S08000031,18plus,5679,183
2019-03-01,S08000031,18-74,2635,85
2019-03-01,S08000031,75plus,3044,98
2019-03-01,S08000032,18plus,5990,193
2019-03-01,S08000032,18-74,1864,60
2019-03-01,S08000032,75plus,4126,133
2019-03-01,S92000003,18plus,43419,1401
2019-03-01,S92000003,18-74,14045,453
2019-03-01,S92000003,75plus,29374,948
2019-04-01,S08000015,18plus,3738,125
2019-04-01,S08000015,18-74,795,27
2019-04-01,S08000015,75plus,2943,98
2019-04-01,S08000016,18plus,818,27
2019-04-01,S08000016,18-74,250,8
2019-04-01,S08000016,75plus,568,19
2019-04-01,S08000017,18plus,1407,47
2019-04-01,S08000017,18-74,560,19
2019-04-01,S08000017,75plus,847,28
2019-04-01,S08000019,18plus,2578,86
2019-04-01,S08000019,18-74,610,20
2019-04-01,S08000019,75plus,1968,66
2019-04-01,S08000020,18plus,3273,109
2019-04-01,S08000020,18-74,840,28
2019-04-01,S08000020,75plus,2433,81
2019-04-01,S08000022,18plus,4251,142
2019-04-01,S08000022,18-74,1224,41
2019-04-01,S08000022,75plus,3027,101
2019-04-01,S08000024,18plus,7352,245
2019-04-01,S08000024,18-74,2317,77
2019-04-01,S08000024,75plus,5035,168
2019-04-01,S08000025,18plus,35,1
2019-04-01,S08000025,18-74,14,0
2019-04-01,S08000025,75plus,21,1
2019-04-01,S08000026,18plus,85,3
2019-04-01,S08000026,18-74,23,1
2019-04-01,S08000026,75plus,62,2
2019-04-01,S08000028,18plus,634,21
2019-04-01,S08000028,18-74,56,2
2019-04-01,S08000028,75plus,578,19
2019-04-01,S08000029,18plus,2792,93
2019-04-01,S08000029,18-74,1128,38
2019-04-01,S08000029,75plus,1664,55
2019-04-01,S08000030,18plus,2448,82
2019-04-01,S08000030,18-74,1081,36
2019-04-01,S08000030,75plus,1367,46
2019-04-01,S08000031,18plus,5682,189
2019-04-01,S08000031,18-74,2519,84
2019-04-01,S08000031,75plus,3163,105
2019-04-01,S08000032,18plus,5901,197
2019-04-01,S08000032,18-74,1808,60
2019-04-01,S08000032,75plus,4093,136
2019-04-01,S92000003,18plus,40994,1366
2019-04-01,S92000003,18-74,13225,441
2019-04-01,S92000003,75plus,27769,926
2019-05-01,S08000015,18plus,4149,134
2019-05-01,S08000015,18-74,961,31
2019-05-01,S08000015,75plus,3188,103
2019-05-01,S08000016,18plus,967,31
2019-05-01,S08000016,18-74,265,9
2019-05-01,S08000016,75plus,702,23
2019-05-01,S08000017,18plus,1716,55
2019-05-01,S08000017,18-74,489,16
2019-05-01,S08000017,75plus,1227,40
2019-05-01,S08000019,18plus,2671,86
2019-05-01,S08000019,18-74,768,25
2019-05-01,S08000019,75plus,1903,61
2019-05-01,S08000020,18plus,3541,114
2019-05-01,S08000020,18-74,940,30
2019-05-01,S08000020,75plus,2601,84
2019-05-01,S08000022,18plus,4217,136
2019-05-01,S08000022,18-74,1226,40
2019-05-01,S08000022,75plus,2991,96
2019-05-01,S08000024,18plus,8503,274
2019-05-01,S08000024,18-74,2866,92
2019-05-01,S08000024,75plus,5637,182
2019-05-01,S08000025,18plus,46,1
2019-05-01,S08000025,18-74,7,0
2019-05-01,S08000025,75plus,39,1
2019-05-01,S08000026,18plus,151,5
2019-05-01,S08000026,18-74,33,1
2019-05-01,S08000026,75plus,118,4
2019-05-01,S08000028,18plus,577,19
2019-05-01,S08000028,18-74,85,3
2019-05-01,S08000028,75plus,492,16
2019-05-01,S08000029,18plus,3285,106
2019-05-01,S08000029,18-74,1438,46
2019-05-01,S08000029,75plus,1847,60
2019-05-01,S08000030,18plus,2496,81
2019-05-01,S08000030,18-74,1056,34
2019-05-01,S08000030,75plus,1440,46
2019-05-01,S08000031,18plus,6305,203
2019-05-01,S08000031,18-74,2827,91
2019-05-01,S08000031,75plus,3478,112
2019-05-01,S08000032,18plus,6437,208
2019-05-01,S08000032,18-74,2238,72
2019-05-01,S08000032,75plus,4199,135
2019-05-01,S92000003,18plus,45061,1454
2019-05-01,S92000003,18-74,15199,490
2019-05-01,S92000003,75plus,29862,963
2019-06-01,S08000015,18plus,4217,141
2019-06-01,S08000015,18-74,842,28
2019-06-01,S08000015,75plus,3375,113
2019-06-01,S08000016,18plus,1021,34
2019-06-01,S08000016,18-74,296,10
2019-06-01,S08000016,75plus,725,24
2019-06-01,S08000017,18plus,1660,55
2019-06-01,S08000017,18-74,439,15
2019-06-01,S08000017,75plus,1221,41
2019-06-01,S08000019,18plus,2819,94
2019-06-01,S08000019,18-74,926,31
2019-06-01,S08000019,75plus,1893,63
2019-06-01,S08000020,18plus,2955,99
2019-06-01,S08000020,18-74,762,25
2019-06-01,S08000020,75plus,2193,73
2019-06-01,S08000022,18plus,3902,130
2019-06-01,S08000022,18-74,1142,38
2019-06-01,S08000022,75plus,2760,92
2019-06-01,S08000024,18plus,7552,252
2019-06-01,S08000024,18-74,2432,81
2019-06-01,S08000024,75plus,5120,171
2019-06-01,S08000025,18plus,1,0
2019-06-01,S08000025,18-74,0,0
2019-06-01,S08000025,75plus,1,0
2019-06-01,S08000026,18plus,145,5
2019-06-01,S08000026,18-74,59,2
2019-06-01,S08000026,75plus,86,3
2019-06-01,S08000028,18plus,565,19
2019-06-01,S08000028,18-74,152,5
2019-06-01,S08000028,75plus,413,14
2019-06-01,S08000029,18plus,2958,99
2019-06-01,S08000029,18-74,1553,52
2019-06-01,S08000029,75plus,1405,47
2019-06-01,S08000030,18plus,2145,72
2019-06-01,S08000030,18-74,895,30
2019-06-01,S08000030,75plus,1250,42
2019-06-01,S08000031,18plus,5873,196
2019-06-01,S08000031,18-74,2606,87
2019-06-01,S08000031,75plus,3267,109
2019-06-01,S08000032,18plus,6439,215
2019-06-01,S08000032,18-74,2071,69
2019-06-01,S08000032,75plus,4368,146
2019-06-01,S92000003,18plus,42252,1408
2019-06-01,S92000003,18-74,14175,473
2019-06-01,S92000003,75plus,28077,936
2019-07-01,S08000015,18plus,4681,151
2019-07-01,S08000015,18-74,931,30
2019-07-01,S08000015,75plus,3750,121
2019-07-01,S08000016,18plus,1000,32
2019-07-01,S08000016,18-74,275,9
2019-07-01,S08000016,75plus,725,23
2019-07-01,S08000017,18plus,1712,55
2019-07-01,S08000017,18-74,492,16
2019-07-01,S08000017,75plus,1220,39
2019-07-01,S08000019,18plus,2652,86
2019-07-01,S08000019,18-74,814,26
2019-07-01,S08000019,75plus,1838,59
2019-07-01,S08000020,18plus,3464,112
2019-07-01,S08000020,18-74,979,32
2019-07-01,S08000020,75plus,2485,80
2019-07-01,S08000022,18plus,4288,138
2019-07-01,S08000022,18-74,1183,38
2019-07-01,S08000022,75plus,3105,100
2019-07-01,S08000024,18plus,8145,263
2019-07-01,S08000024,18-74,2486,80
2019-07-01,S08000024,75plus,5659,183
2019-07-01,S08000025,18plus,22,1
2019-07-01,S08000025,18-74,0,0
2019-07-01,S08000025,75plus,22,1
2019-07-01,S08000026,18plus,147,5
2019-07-01,S08000026,18-74,75,2
2019-07-01,S08000026,75plus,72,2
2019-07-01,S08000028,18plus,666,21
2019-07-01,S08000028,18-74,162,5
2019-07-01,S08000028,75plus,504,16
2019-07-01,S08000029,18plus,3149,102
2019-07-01,S08000029,18-74,1580,51
2019-07-01,S08000029,75plus,1569,51
2019-07-01,S08000030,18plus,2373,77
2019-07-01,S08000030,18-74,1080,35
2019-07-01,S08000030,75plus,1293,42
2019-07-01,S08000031,18plus,6014,194
2019-07-01,S08000031,18-74,2482,80
2019-07-01,S08000031,75plus,3532,114
2019-07-01,S08000032,18plus,7083,228
2019-07-01,S08000032,18-74,2533,82
2019-07-01,S08000032,75plus,4550,147
2019-07-01,S92000003,18plus,45396,1464
2019-07-01,S92000003,18-74,15072,486
2019-07-01,S92000003,75plus,30324,978
2019-08-01,S08000015,18plus,5195,168
2019-08-01,S08000015,18-74,1264,41
2019-08-01,S08000015,75plus,3931,127
2019-08-01,S08000016,18plus,1138,37
2019-08-01,S08000016,18-74,353,11
2019-08-01,S08000016,75plus,785,25
2019-08-01,S08000017,18plus,1808,58
2019-08-01,S08000017,18-74,511,16
2019-08-01,S08000017,75plus,1297,42
2019-08-01,S08000019,18plus,2770,89
2019-08-01,S08000019,18-74,891,29
2019-08-01,S08000019,75plus,1879,61
2019-08-01,S08000020,18plus,3194,103
2019-08-01,S08000020,18-74,1007,32
2019-08-01,S08000020,75plus,2187,71
2019-08-01,S08000022,18plus,4294,139
2019-08-01,S08000022,18-74,1005,32
2019-08-01,S08000022,75plus,3289,106
2019-08-01,S08000024,18plus,8408,271
2019-08-01,S08000024,18-74,2460,79
2019-08-01,S08000024,75plus,5948,192
2019-08-01,S08000025,18plus,23,1
2019-08-01,S08000025,18-74,0,0
2019-08-01,S08000025,75plus,23,1
2019-08-01,S08000026,18plus,128,4
2019-08-01,S08000026,18-74,22,1
2019-08-01,S08000026,75plus,106,3
2019-08-01,S08000028,18plus,600,19
2019-08-01,S08000028,18-74,165,5
2019-08-01,S08000028,75plus,435,14
2019-08-01,S08000029,18plus,3550,115
2019-08-01,S08000029,18-74,1729,56
2019-08-01,S08000029,75plus,1821,59
2019-08-01,S08000030,18plus,2315,75
2019-08-01,S08000030,18-74,1026,33
2019-08-01,S08000030,75plus,1289,42
2019-08-01,S08000031,18plus,6329,204
2019-08-01,S08000031,18-74,2563,83
2019-08-01,S08000031,75plus,3766,121
2019-08-01,S08000032,18plus,7145,230
2019-08-01,S08000032,18-74,2303,74
2019-08-01,S08000032,75plus,4842,156
2019-08-01,S92000003,18plus,46897,1513
2019-08-01,S92000003,18-74,15299,494
2019-08-01,S92000003,75plus,31598,1019
2019-09-01,S08000015,18plus,4305,144
2019-09-01,S08000015,18-74,1148,38
2019-09-01,S08000015,75plus,3157,105
2019-09-01,S08000016,18plus,1115,37
2019-09-01,S08000016,18-74,463,15
2019-09-01,S08000016,75plus,652,22
2019-09-01,S08000017,18plus,1712,57
2019-09-01,S08000017,18-74,464,15
2019-09-01,S08000017,75plus,1248,42
2019-09-01,S08000019,18plus,2662,89
2019-09-01,S08000019,18-74,996,33
2019-09-01,S08000019,75plus,1666,56
2019-09-01,S08000020,18plus,3516,117
2019-09-01,S08000020,18-74,1204,40
2019-09-01,S08000020,75plus,2312,77
2019-09-01,S08000022,18plus,3920,131
2019-09-01,S08000022,18-74,1090,36
2019-09-01,S08000022,75plus,2830,94
2019-09-01,S08000024,18plus,7378,246
2019-09-01,S08000024,18-74,2395,80
2019-09-01,S08000024,75plus,4983,166
2019-09-01,S08000025,18plus,28,1
2019-09-01,S08000025,18-74,0,0
2019-09-01,S08000025,75plus,28,1
2019-09-01,S08000026,18plus,149,5
2019-09-01,S08000026,18-74,0,0
2019-09-01,S08000026,75plus,149,5
2019-09-01,S08000028,18plus,688,23
2019-09-01,S08000028,18-74,237,8
2019-09-01,S08000028,75plus,451,15
2019-09-01,S08000029,18plus,3680,123
2019-09-01,S08000029,18-74,1747,58
2019-09-01,S08000029,75plus,1933,64
2019-09-01,S08000030,18plus,2240,75
2019-09-01,S08000030,18-74,942,31
2019-09-01,S08000030,75plus,1298,43
2019-09-01,S08000031,18plus,6692,223
2019-09-01,S08000031,18-74,2831,94
2019-09-01,S08000031,75plus,3861,129
2019-09-01,S08000032,18plus,7547,252
2019-09-01,S08000032,18-74,2644,88
2019-09-01,S08000032,75plus,4903,163
2019-09-01,S92000003,18plus,45632,1521
2019-09-01,S92000003,18-74,16161,539
2019-09-01,S92000003,75plus,29471,982
2019-10-01,S08000015,18plus,4941,159
2019-10-01,S08000015,18-74,1233,40
2019-10-01,S08000015,75plus,3708,120
2019-10-01,S08000016,18plus,799,26
2019-10-01,S08000016,18-74,273,9
2019-10-01,S08000016,75plus,526,17
2019-10-01,S08000017,18plus,2080,67
2019-10-01,S08000017,18-74,527,17
2019-10-01,S08000017,75plus,1553,50
2019-10-01,S08000019,18plus,3132,101
2019-10-01,S08000019,18-74,1083,35
2019-10-01,S08000019,75plus,2049,66
2019-10-01,S08000020,18plus,3470,112
2019-10-01,S08000020,18-74,1192,38
2019-10-01,S08000020,75plus,2278,73
2019-10-01,S08000022,18plus,4154,134
2019-10-01,S08000022,18-74,1216,39
2019-10-01,S08000022,75plus,2938,95
2019-10-01,S08000024,18plus,7616,246
2019-10-01,S08000024,18-74,2320,75
2019-10-01,S08000024,75plus,5296,171
2019-10-01,S08000025,18plus,35,1
2019-10-01,S08000025,18-74,16,1
2019-10-01,S08000025,75plus,19,1
2019-10-01,S08000026,18plus,70,2
2019-10-01,S08000026,18-74,39,1
2019-10-01,S08000026,75plus,31,1
2019-10-01,S08000028,18plus,492,16
2019-10-01,S08000028,18-74,158,5
2019-10-01,S08000028,75plus,334,11
2019-10-01,S08000029,18plus,2982,96
2019-10-01,S08000029,18-74,1337,43
2019-10-01,S08000029,75plus,1645,53
2019-10-01,S08000030,18plus,2651,86
2019-10-01,S08000030,18-74,851,27
2019-10-01,S08000030,75plus,1800,58
2019-10-01,S08000031,18plus,7014,226
2019-10-01,S08000031,18-74,3198,103
2019-10-01,S08000031,75plus,3816,123
2019-10-01,S08000032,18plus,6804,219
2019-10-01,S08000032,18-74,2636,85
2019-10-01,S08000032,75plus,4168,134
2019-10-01,S92000003,18plus,46240,1492
2019-10-01,S92000003,18-74,16079,519
2019-10-01,S92000003,75plus,30161,973
2019-11-01,S08000015,18plus,4770,159
2019-11-01,S08000015,18-74,1365,46
2019-11-01,S08000015,75plus,3405,114
2019-11-01,S08000016,18plus,790,26
2019-11-01,S08000016,18-74,311,10
2019-11-01,S08000016,75plus,479,16
2019-11-01,S08000017,18plus,1801,60
2019-11-01,S08000017,18-74,519,17
2019-11-01,S08000017,75plus,1282,43
2019-11-01,S08000019,18plus,2838,95
2019-11-01,S08000019,18-74,873,29
2019-11-01,S08000019,75plus,1965,66
2019-11-01,S08000020,18plus,3559,119
2019-11-01,S08000020,18-74,1041,35
2019-11-01,S08000020,75plus,2518,84
2019-11-01,S08000022,18plus,4183,139
2019-11-01,S08000022,18-74,1389,46
2019-11-01,S08000022,75plus,2794,93
2019-11-01,S08000024,18plus,7344,245
2019-11-01,S08000024,18-74,2083,69
2019-11-01,S08000024,75plus,5261,175
2019-11-01,S08000025,18plus,69,2
2019-11-01,S08000025,18-74,29,1
2019-11-01,S08000025,75plus,40,1
2019-11-01,S08000026,18plus,131,4
2019-11-01,S08000026,18-74,66,2
2019-11-01,S08000026,75plus,65,2
2019-11-01,S08000028,18plus,658,22
2019-11-01,S08000028,18-74,161,5
2019-11-01,S08000028,75plus,497,17
2019-11-01,S08000029,18plus,3110,104
2019-11-01,S08000029,18-74,1251,42
2019-11-01,S08000029,75plus,1859,62
2019-11-01,S08000030,18plus,2641,88
2019-11-01,S08000030,18-74,820,27
2019-11-01,S08000030,75plus,1821,61
2019-11-01,S08000031,18plus,6724,224
2019-11-01,S08000031,18-74,2884,96
2019-11-01,S08000031,75plus,3840,128
2019-11-01,S08000032,18plus,6297,210
2019-11-01,S08000032,18-74,2171,72
2019-11-01,S08000032,75plus,4126,138
2019-11-01,S92000003,18plus,44915,1497
2019-11-01,S92000003,18-74,14963,499
2019-11-01,S92000003,75plus,29952,998
2019-12-01,S08000015,18plus,4284,138
2019-12-01,S08000015,18-74,1163,38
2019-12-01,S08000015,75plus,3121,101
2019-12-01,S08000016,18plus,778,25
2019-12-01,S08000016,18-74,276,9
2019-12-01,S08000016,75plus,502,16
2019-12-01,S08000017,18plus,1514,49
2019-12-01,S08000017,18-74,416,13
2019-12-01,S08000017,75plus,1098,35
2019-12-01,S08000019,18plus,3042,98
2019-12-01,S08000019,18-74,819,26
2019-12-01,S08000019,75plus,2223,72
2019-12-01,S08000020,18plus,3278,106
2019-12-01,S08000020,18-74,880,28
2019-12-01,S08000020,75plus,2398,77
2019-12-01,S08000022,18plus,3770,122
2019-12-01,S08000022,18-74,1337,43
2019-12-01,S08000022,75plus,2433,78
2019-12-01,S08000024,18plus,7320,236
2019-12-01,S08000024,18-74,2256,73
2019-12-01,S08000024,75plus,5064,163
2019-12-01,S08000025,18plus,77,2
2019-12-01,S08000025,18-74,22,1
2019-12-01,S08000025,75plus,55,2
2019-12-01,S08000026,18plus,170,5
2019-12-01,S08000026,18-74,64,2
2019-12-01,S08000026,75plus,106,3
2019-12-01,S08000028,18plus,548,18
2019-12-01,S08000028,18-74,134,4
2019-12-01,S08000028,75plus,414,13
2019-12-01,S08000029,18plus,3465,112
2019-12-01,S08000029,18-74,1270,41
2019-12-01,S08000029,75plus,2195,71
2019-12-01,S08000030,18plus,2714,88
2019-12-01,S08000030,18-74,915,30
2019-12-01,S08000030,75plus,1799,58
2019-12-01,S08000031,18plus,7337,237
2019-12-01,S08000031,18-74,3058,99
2019-12-01,S08000031,75plus,4279,138
2019-12-01,S08000032,18plus,7107,229
2019-12-01,S08000032,18-74,2377,77
2019-12-01,S08000032,75plus,4730,153
2019-12-01,S92000003,18plus,45404,1465
2019-12-01,S92000003,18-74,14987,483
2019-12-01,S92000003,75plus,30417,981
2020-01-01,S08000015,18plus,4662,150
2020-01-01,S08000015,18-74,1283,41
2020-01-01,S08000015,75plus,3379,109
2020-01-01,S08000016,18plus,1112,36
2020-01-01,S08000016,18-74,435,14
2020-01-01,S08000016,75plus,677,22
2020-01-01,S08000017,18plus,1559,50
2020-01-01,S08000017,18-74,511,16
2020-01-01,S08000017,75plus,1048,34
2020-01-01,S08000019,18plus,2475,80
2020-01-01,S08000019,18-74,587,19
2020-01-01,S08000019,75plus,1888,61
2020-01-01,S08000020,18plus,3572,115
2020-01-01,S08000020,18-74,1066,34
2020-01-01,S08000020,75plus,2506,81
2020-01-01,S08000022,18plus,3918,126
2020-01-01,S08000022,18-74,1264,41
2020-01-01,S08000022,75plus,2654,86
2020-01-01,S08000024,18plus,8735,282
2020-01-01,S08000024,18-74,2515,81
2020-01-01,S08000024,75plus,6220,201
2020-01-01,S08000025,18plus,44,1
2020-01-01,S08000025,18-74,6,0
2020-01-01,S08000025,75plus,38,1
2020-01-01,S08000026,18plus,99,3
2020-01-01,S08000026,18-74,39,1
2020-01-01,S08000026,75plus,60,2
2020-01-01,S08000028,18plus,443,14
2020-01-01,S08000028,18-74,150,5
2020-01-01,S08000028,75plus,293,9
2020-01-01,S08000029,18plus,3569,115
2020-01-01,S08000029,18-74,1321,43
2020-01-01,S08000029,75plus,2248,73
2020-01-01,S08000030,18plus,2583,83
2020-01-01,S08000030,18-74,919,30
2020-01-01,S08000030,75plus,1664,54
2020-01-01,S08000031,18plus,8306,268
2020-01-01,S08000031,18-74,3538,114
2020-01-01,S08000031,75plus,4768,154
2020-01-01,S08000032,18plus,6452,208
2020-01-01,S08000032,18-74,2040,66
2020-01-01,S08000032,75plus,4412,142
2020-01-01,S92000003,18plus,47529,1533
2020-01-01,S92000003,18-74,15674,506
2020-01-01,S92000003,75plus,31855,1028
2020-02-01,S08000015,18plus,4494,155
2020-02-01,S08000015,18-74,1412,49
2020-02-01,S08000015,75plus,3082,106
2020-02-01,S08000016,18plus,1230,42
2020-02-01,S08000016,18-74,295,10
2020-02-01,S08000016,75plus,935,32
2020-02-01,S08000017,18plus,1290,44
2020-02-01,S08000017,18-74,350,12
2020-02-01,S08000017,75plus,940,32
2020-02-01,S08000019,18plus,2389,82
2020-02-01,S08000019,18-74,667,23
2020-02-01,S08000019,75plus,1722,59
2020-02-01,S08000020,18plus,3479,120
2020-02-01,S08000020,18-74,1006,35
2020-02-01,S08000020,75plus,2473,85
2020-02-01,S08000022,18plus,3954,136
2020-02-01,S08000022,18-74,1130,39
2020-02-01,S08000022,75plus,2824,97
2020-02-01,S08000024,18plus,8178,282
2020-02-01,S08000024,18-74,2341,81
2020-02-01,S08000024,75plus,5837,201
2020-02-01,S08000025,18plus,110,4
2020-02-01,S08000025,18-74,15,1
2020-02-01,S08000025,75plus,95,3
2020-02-01,S08000026,18plus,143,5
2020-02-01,S08000026,18-74,53,2
2020-02-01,S08000026,75plus,90,3
2020-02-01,S08000028,18plus,386,13
2020-02-01,S08000028,18-74,103,4
2020-02-01,S08000028,75plus,283,10
2020-02-01,S08000029,18plus,3449,119
2020-02-01,S08000029,18-74,1427,49
2020-02-01,S08000029,75plus,2022,70
2020-02-01,S08000030,18plus,2643,91
2020-02-01,S08000030,18-74,1042,36
2020-02-01,S08000030,75plus,1601,55
2020-02-01,S08000031,18plus,8319,287
2020-02-01,S08000031,18-74,3302,114
2020-02-01,S08000031,75plus,5017,173
2020-02-01,S08000032,18plus,6811,235
2020-02-01,S08000032,18-74,2067,71
2020-02-01,S08000032,75plus,4744,164
2020-02-01,S92000003,18plus,46875,1616
2020-02-01,S92000003,18-74,15210,524
2020-02-01,S92000003,75plus,31665,1092
2020-03-01,S08000015,18plus,4385,141
2020-03-01,S08000015,18-74,1416,46
2020-03-01,S08000015,75plus,2969,96
2020-03-01,S08000016,18plus,1092,35
2020-03-01,S08000016,18-74,233,8
2020-03-01,S08000016,75plus,859,28
2020-03-01,S08000017,18plus,1351,44
2020-03-01,S08000017,18-74,397,13
2020-03-01,S08000017,75plus,954,31
2020-03-01,S08000019,18plus,2562,83
2020-03-01,S08000019,18-74,889,29
2020-03-01,S08000019,75plus,1673,54
2020-03-01,S08000020,18plus,3408,110
2020-03-01,S08000020,18-74,1077,35
2020-03-01,S08000020,75plus,2331,75
2020-03-01,S08000022,18plus,3871,125
2020-03-01,S08000022,18-74,1186,38
2020-03-01,S08000022,75plus,2685,87
2020-03-01,S08000024,18plus,7278,235
2020-03-01,S08000024,18-74,2230,72
2020-03-01,S08000024,75plus,5048,163
2020-03-01,S08000025,18plus,103,3
2020-03-01,S08000025,18-74,0,0
2020-03-01,S08000025,75plus,103,3
2020-03-01,S08000026,18plus,87,3
2020-03-01,S08000026,18-74,21,1
2020-03-01,S08000026,75plus,66,2
2020-03-01,S08000028,18plus,331,11
2020-03-01,S08000028,18-74,148,5
